Date,Predicted,Actual
2/14/2017,181.699997,181.600006
2/9/2017,177.889999,178.179993
2/8/2017,176.820007,177.070007
2/1/2017,175.100006,175.169998
1/31/2017,175.630005,174.820007
1/30/2017,175.949997,175.419998
1/27/2017,177.889999,177.479996
1/24/2017,175.880005,175.970001
1/23/2017,177.710007,178.509995
1/20/2017,179.199997,178.490005
1/12/2017,176.580002,177.440002
1/9/2017,177.389999,177.270004
12/28/2016,179.199997,178.080002
12/20/2016,179.199997,178.649994
12/16/2016,176.729996,177.449997
12/14/2016,178.830002,176.600006
12/9/2016,178.229996,178.490005
12/7/2016,175.630005,176.050003
12/6/2016,171.910004,171.800003
11/30/2016,172.630005,171.740005
11/18/2016,172.5,172.960007
11/17/2016,172.25,172.770004
11/16/2016,172.630005,172.009995
11/15/2016,172.5,174.240005
11/11/2016,175.630005,175.080002
11/8/2016,170.130005,171.029999
11/7/2016,168.660004,169.740005
11/4/2016,167.380005,166.479996
11/2/2016,164.25,165.729996
10/31/2016,166.809998,165.300003
10/26/2016,166.75,166.509995
10/21/2016,168.660004,169.5
10/20/2016,170.149994,169.860001
10/19/2016,170.130005,169.910004
10/18/2016,170.130005,169.949997
10/17/2016,170.130005,170.210007
10/10/2016,172.630005,171.139999
10/7/2016,170.330002,171.330002
9/29/2016,175.949997,175.369995
9/28/2016,177.889999,177.589996
9/27/2016,175.949997,176.300003
9/23/2016,177.809998,177.389999
9/22/2016,180.899994,179.850006
9/21/2016,177.809998,179.589996
9/20/2016,178.160004,177.600006
9/19/2016,177.889999,176.720001
9/13/2016,176.580002,176.070007
9/12/2016,178.229996,178.100006
9/9/2016,178.229996,175.639999
9/6/2016,180.899994,180.460007
8/30/2016,180.899994,180.149994
8/24/2016,179.25,179.410004
8/18/2016,179,179.179993
8/17/2016,179,179.869995
8/15/2016,181.699997,180.559998
8/11/2016,180.5,181
8/9/2016,179.199997,178.389999
8/8/2016,178.75,178.580002
8/5/2016,177.809998,178.570007
8/3/2016,179.199997,178.380005
8/2/2016,178.160004,178.360001
7/29/2016,178.160004,178.360001
7/27/2016,178.160004,178.270004
7/25/2016,179.25,179.630005
7/20/2016,181.699997,181.419998
7/19/2016,181.699997,181.240005
7/15/2016,181.699997,181.399994
7/13/2016,178.75,179.210007
7/11/2016,177.979996,178.009995
7/6/2016,175.039993,175.160004
6/30/2016,172.5,175.119995
6/29/2016,170.330002,171.520004
6/27/2016,166.75,167.190002
6/20/2016,171.520004,171.229996
6/13/2016,168.380005,167.130005
6/2/2016,168.380005,168.039993
5/31/2016,167.809998,168.320007
5/20/2016,166.809998,165.009995
5/16/2016,168.660004,169.550003
5/10/2016,170.149994,170.259995
5/3/2016,167.380005,167.970001
5/2/2016,168.380005,168.339996
4/20/2016,170.149994,168.940002
4/18/2016,168.660004,169.550003
4/15/2016,168.160004,168.779999
4/11/2016,167.380005,166.589996
4/8/2016,167.380005,166.630005
4/7/2016,166.75,167.160004
4/4/2016,167.380005,166.399994
4/1/2016,166.75,167.529999
3/31/2016,167.380005,166.630005
3/22/2016,164.25,164.910004
3/21/2016,164.25,164.839996
3/14/2016,161.880005,161.809998
3/8/2016,159.410004,160.199997
3/1/2016,159.380005,159.589996
2/25/2016,159.380005,158.990005
2/23/2016,159.380005,156.169998
2/21/2017,44.810001,45.009998
2/16/2017,43.849998,44.200001
2/14/2017,43.5,43.650002
2/13/2017,43.349998,43.220001
2/9/2017,42.740002,42.540001
2/7/2017,42.970001,42.889999
1/30/2017,40.900002,41.009998
1/27/2017,40.790001,41
1/25/2017,40.369999,40.310001
1/24/2017,40.5,40.310001
1/20/2017,40.720001,40.459999
1/10/2017,41.77,41.290001
1/5/2017,39.810001,39.700001
12/27/2016,38.849998,38.599998
12/22/2016,38.099998,38.290001
12/12/2016,39.630001,39.200001
12/8/2016,38.07,38.68
12/6/2016,38.07,38.419998
12/2/2016,37.599998,37.900002
11/28/2016,39.049999,38.740002
11/23/2016,38.099998,38.98
11/22/2016,38.099998,38.099998
11/9/2016,40.369999,40.07
10/28/2016,40.290001,39.540001
10/26/2016,39.84,39.959999
10/25/2016,40.5,40.189999
10/18/2016,40.639999,41.169998
10/17/2016,40.75,40.59
10/13/2016,41.080002,40.98
10/6/2016,42.82,42.970001
10/3/2016,42.099998,42.549999
9/29/2016,41.889999,41.439999
9/27/2016,42.189999,42.330002
9/21/2016,41.580002,41.919998
9/19/2016,41.889999,41.68
9/16/2016,41.77,41.869999
9/15/2016,40.639999,41.119999
9/14/2016,40.880001,40.810001
9/12/2016,40.790001,41.419998
9/8/2016,41.889999,41.849998
9/6/2016,42.290001,42.16
9/2/2016,42.220001,42.09
9/1/2016,42.290001,42.299999
8/31/2016,43.049999,42.02
8/30/2016,43.349998,42.830002
8/29/2016,43.5,43.25
8/25/2016,43.349998,42.84
8/23/2016,44.169998,43.900002
8/17/2016,44.810001,44.68
8/12/2016,44.810001,45.040001
8/8/2016,45.290001,45.02
8/2/2016,45.290001,45.07
7/27/2016,43.5,43.669998
7/26/2016,43.5,43.599998
7/20/2016,42.369999,42.650002
7/19/2016,41.889999,41.799999
7/18/2016,41.889999,42.09
7/13/2016,42.290001,41.970001
7/11/2016,42.220001,42.119999
7/7/2016,40.779999,41.360001
7/5/2016,39.5,39.439999
7/1/2016,39.5,39.540001
6/30/2016,39.049999,39.310001
6/24/2016,38.099998,37.91
6/15/2016,37.599998,37.43
6/14/2016,37.599998,37.66
6/8/2016,38.849998,38.91
5/31/2016,39.5,39.630001
5/20/2016,37.599998,37.599998
5/18/2016,37.599998,37.75
5/17/2016,38.25,37.709999
5/9/2016,38.099998,37.98
5/6/2016,38.25,37.970001
5/5/2016,38.220001,38.5
4/28/2016,41.77,40.419998
4/25/2016,43.849998,44.009998
4/22/2016,43.849998,44.080002
4/21/2016,43.849998,43.880001
4/20/2016,43.849998,43.970001
4/15/2016,43.5,43.41
4/5/2016,42.220001,42.040001
4/4/2016,42.470001,42.32
3/29/2016,40.790001,41.470001
3/10/2016,39.630001,39.029999
3/3/2016,38.220001,38.82
3/2/2016,39.360001,39.34
3/1/2016,39.18,39.330002
2/26/2016,39.5,39.52
2/25/2016,39.439999,39.630001
